iter	Passed	Remaining
0	11	11985
1	17	8784
2	21	7044
3	23	5955
4	26	5257
5	29	4832
6	31	4496
7	33	4209
8	35	3960
9	38	3815
10	41	3728
11	43	3605
12	45	3490
13	48	3386
14	50	3318
15	52	3231
16	54	3162
17	56	3101
18	59	3052
19	61	3003
20	63	2956
21	65	2909
22	67	2872
23	69	2843
24	71	2795
25	73	2766
26	76	2746
27	78	2720
28	80	2695
29	82	2666
30	84	2644
31	86	2627
32	89	2610
33	91	2595
34	93	2578
35	95	2561
36	97	2539
37	100	2545
38	103	2556
39	106	2553
40	108	2542
41	110	2526
42	112	2514
43	115	2509
44	117	2499
45	120	2496
46	122	2491
47	125	2491
48	127	2482
49	130	2472
50	132	2472
51	135	2467
52	137	2458
53	140	2456
54	142	2454
55	145	2447
56	147	2444
57	150	2442
58	152	2436
59	155	2430
60	157	2429
61	160	2426
62	162	2422
63	166	2428
64	168	2425
65	171	2422
66	173	2421
67	176	2416
68	178	2412
69	181	2408
70	183	2404
71	186	2399
72	188	2394
73	191	2391
74	193	2385
75	195	2380
76	198	2378
77	200	2374
78	203	2367
79	205	2365
80	207	2359
81	210	2358
82	212	2352
83	215	2349
84	218	2348
85	221	2352
86	224	2351
87	226	2346
88	228	2341
89	231	2340
90	233	2335
91	236	2331
92	238	2328
93	241	2324
94	243	2318
95	245	2314
96	248	2313
97	252	2319
98	254	2316
99	257	2313
100	260	2316
101	262	2314
102	265	2310
103	267	2308
104	270	2305
105	272	2300
106	275	2297
107	277	2293
108	281	2298
109	283	2297
110	286	2292
111	288	2288
112	291	2286
113	293	2281
114	296	2281
115	299	2279
116	301	2276
117	304	2273
118	306	2268
119	308	2264
120	311	2262
121	313	2258
122	317	2261
123	319	2257
124	322	2254
125	324	2251
126	326	2247
127	329	2246
128	332	2244
129	334	2239
130	337	2236
131	339	2232
132	341	2229
133	344	2226
134	347	2223
135	350	2229
136	353	2227
137	357	2230
138	360	2232
139	363	2232
140	366	2231
141	369	2230
142	372	2230
143	374	2226
144	377	2227
145	380	2227
146	384	2228
147	386	2227
148	389	2223
149	393	2231
150	398	2238
151	402	2243
152	405	2244
153	408	2243
154	411	2245
155	415	2249
156	418	2247
157	421	2246
158	424	2245
159	427	2244
160	430	2245
161	434	2246
162	438	2250
163	441	2249
164	445	2252
165	448	2253
166	451	2252
167	454	2250
168	457	2249
169	460	2248
170	462	2244
171	466	2243
172	469	2243
173	472	2243
174	476	2245
